Kategori Motivasi,Isu,Detail Partai,Probabilitas,Kategori Topik 0,Detail Partai 0,Probabilitas Topik 0,Kategori Topik 1,Detail Partai 1,Probabilitas Topik 1,Kategori Topik 2,Detail Partai 2,Probabilitas Topik 2
Peran Anggota Legislatif,Peran Anggota Legislatif,PDIP,0.965765104,Peran Anggota Legislatif,PDIP,0.965765104,,,,,,
Peran Anggota Legislatif,Peran Anggota Legislatif,BERKARYA,0.982513495,Peran Anggota Legislatif,BERKARYA,0.982513495,,,,,,
Peran Anggota Legislatif,Peran Anggota Legislatif,PAN,0.965765104,Peran Anggota Legislatif,PAN,0.965765104,,,,,,
Pembangunan Daerah,Pembangunan Daerah,PSI,0.988338257,,,,Pembangunan Daerah,PSI,0.988338257,,,
Pembangunan Daerah,Pembangunan Daerah,PKPI,0.988338257,,,,Pembangunan Daerah,PKPI,0.988338257,,,
Pembangunan Daerah,Pembangunan Daerah,GARUDA,0.984561959,,,,Pembangunan Daerah,GARUDA,0.984561959,,,
Pembangunan Daerah,Pembangunan Daerah,GERINDRA,0.984561959,,,,Pembangunan Daerah,GERINDRA,0.984561959,,,
Pembangunan Daerah,Pembangunan Daerah,PERINDO,0.977168763,,,,Pembangunan Daerah,PERINDO,0.977168763,,,
Pembangunan Daerah,Pembangunan Daerah,DEMOKRAT,0.956186899,,,,Pembangunan Daerah,DEMOKRAT,0.956186899,,,
Pergerakan Nasional,Pergerakan Nasional,PKS,0.990617687,,,,,,,Pergerakan Nasional,PKS,0.990617687
Pergerakan Nasional,Pergerakan Nasional,NASDEM,0.98877373,,,,,,,Pergerakan Nasional,NASDEM,0.98877373
Pergerakan Nasional,Pergerakan Nasional,PPP,0.986027673,,,,,,,Pergerakan Nasional,PPP,0.986027673
Pergerakan Nasional,Pergerakan Nasional,GOLKAR,0.981503164,,,,,,,Pergerakan Nasional,GOLKAR,0.981503164
Pergerakan Nasional,Pergerakan Nasional,HANURA,0.981503164,,,,,,,Pergerakan Nasional,HANURA,0.981503164
Pergerakan Nasional,Pergerakan Nasional,PBB,0.972645126,,,,,,,Pergerakan Nasional,PBB,0.972645126
